Cache, , , , 
Objects, Time, Function Calls, CacheHitCount, Filled Both Sacks
10, 0:00:00.231615, 11754,13584, False
10, 0:00:00.161930, 7517, 3947,  False
10, 0:00:00.022059, 863,  285,   True
10, 0:00:00.196537, 9037, 6521,  False
10, 0:00:00.278208, 13046,10642, False
10, 0:00:00.193584, 9237, 6787,  False
10, 0:00:00.011025, 477,  100,   True
10, 0:00:00.083723, 3584, 1205,  False
10, 0:00:00.218130, 9870, 8357,  False
10, 0:00:00.092742, 4250, 2894,  False
20, 0:00:00.010528, 428, 65, True
20, 0:00:00, 9, 0, True
20, 0:00:00.031588, 1260, 491, True
20, 0:00:00.026573, 1004, 298, True
20, 0:00:00.005547, 186, 6, True
20, 0:00:00.003018, 105, 1, True
20, 0:00:00.003008, 79, 2, True
20, 0:00:00.000502, 11, 0, True
20, 0:00:00.002007, 50, 1, True
20, 0:00:00.023563, 945, 18, True
30, 0:00:00, 12, 0, True
30, 0:00:00.058657, 2406, 782, True
30, 0:00:00.022089, 876, 89, True
30, 0:00:00, 10, 0, True
30, 0:00:00.018558, 761, 212, True
30, 0:00:00.003509, 160, 29, True
30, 0:00:00.002532, 69, 4, True
30, 0:00:00.027092, 1104, 241, True
30, 0:00:00.026070, 1100, 707, True
30, 0:00:00.001003, 33, 0, True
40, 0:00:00.001504, 63, 0, True
40, 0:00:00.068180, 2870, 1161, True
40, 0:00:00.016042, 713, 96, True
40, 0:00:00.130842, 6034, 4196, True
40, 0:00:00.000502, 21, 0, True
40, 0:00:00.010509, 476, 31, True
40, 0:00:00.028100, 1129, 503, True
40, 0:00:00.046155, 2046, 965, True
40, 0:00:00.005514, 237, 2, True
40, 0:00:00.001034, 63, 0, True
50, 0:00:00.006016, 245, 19, True
50, 0:00:00.001034, 30, 0, True
50, 0:00:00.001038, 38, 0, True
50, 0:00:00.002004, 66, 0, True
50, 0:00:00.008016, 364, 69, True
50, 0:00:00.001503, 51, 0, True
50, 0:00:00.004519, 188, 5, True
50, 0:00:00.000501, 21, 0, True
50, 0:00:00.001004, 44, 0, True
50, 0:00:00.000501, 27, 0, True
60, 0:00:00.195519, 8964, 6183, True
60, 0:00:00.003008, 120, 2, True
60, 0:00:00.000988, 42, 0, True
60, 0:00:00.001002, 44, 0, True
60, 0:00:00.021051, 876, 93, True
60, 0:00:00.001033, 41, 0, True
60, 0:00:00.001003, 47, 0, True
60, 0:00:00.085697, 3656, 991, True
60, 0:00:00.007055, 300, 18, True
60, 0:00:00.017516, 672, 138, True
70, 0:00:00.001503, 51, 0, True
70, 0:00:00.000502, 32, 0, True
70, 0:00:00.005507, 204, 13, True
70, 0:00:00.000501, 37, 0, True
70, 0:00:00.001003, 45, 0, True
70, 0:00:00.276734, 11795, 8563, True
70, 0:00:00.001505, 62, 0, True
70, 0:00:00.007520, 267, 5, True
70, 0:00:00.000503, 12, 0, True
70, 0:00:00.007520, 227, 1, True
80, 0:00:00.000500, 32, 0, True
80, 0:00:00.002018, 103, 0, True
80, 0:00:00.001967, 93, 0, True
80, 0:00:00, 16, 0, True
80, 0:00:00.009023, 348, 6, True
80, 0:00:00.002005, 43, 0, True
80, 0:00:00.001504, 75, 0, True
80, 0:00:00.000991, 44, 0, True
80, 0:00:00.005013, 167, 5, True
80, 0:00:00.017046, 588, 14, True
90, 0:00:00.000490, 29, 0, True
90, 0:00:00.001001, 35, 0, True
90, 0:00:00.000501, 34, 0, True
90, 0:00:00.029579, 966, 58, True
90, 0:00:00.002016, 48, 0, True
90, 0:00:00.002005, 84, 0, True
90, 0:00:00.000502, 35, 0, True
90, 0:00:00.034091, 1266, 199, True
90, 0:00:00.001003, 39, 0, True
90, 0:00:00.001002, 48, 0, True
100, 0:00:00.002005, 84, 0, True
100, 0:00:00.002007, 68, 0, True
100, 0:00:00.005013, 192, 1, True
100, 0:00:00.001003, 51, 0, True
100, 0:00:00.002507, 76, 0, True
100, 0:00:00.000501, 18, 0, True
100, 0:00:00.013020, 552, 17, True
100, 0:00:00.002507, 78, 0, True
100, 0:00:00.003520, 94, 0, True
100, 0:00:00.001002, 51, 0, True
110, 0:00:00.002005, 80, 0, True
110, 0:00:00.004010, 200, 0, True
110, 0:00:00, 17, 0, True
110, 0:00:00.002007, 77, 0, True
110, 0:00:00.005013, 195, 0, True
110, 0:00:00, 20, 0, True
110, 0:00:00.000501, 31, 0, True
110, 0:00:00.060662, 2192, 115, True
110, 0:00:00.016543, 685, 31, True
110, 0:00:00.001504, 54, 0, True
120, 0:00:00.002508, 112, 0, True
120, 0:00:00.000500, 28, 0, True
120, 0:00:00.001505, 64, 0, True
120, 0:00:00.001003, 40, 0, True
120, 0:00:00.002005, 101, 0, True
120, 0:00:00.001504, 78, 0, True
120, 0:00:00.006518, 250, 1, True
120, 0:00:00.001505, 58, 0, True
120, 0:00:00.000501, 26, 0, True
120, 0:00:00.003510, 88, 0, True
130, 0:00:00.004013, 145, 0, True
130, 0:00:00.011028, 337, 1, True
130, 0:00:00.001504, 35, 0, True
130, 0:00:00.000501, 40, 0, True
130, 0:00:00.000501, 32, 0, True
130, 0:00:00.001504, 69, 0, True
130, 0:00:00.003509, 84, 0, True
130, 0:00:00.004010, 128, 0, True
130, 0:00:00.000501, 10, 0, True
130, 0:00:00.001503, 71, 0, True
140, 0:00:00.004512, 121, 0, True
140, 0:00:00.000501, 30, 0, True
140, 0:00:00.004512, 126, 0, True
140, 0:00:00.001495, 58, 0, True
140, 0:00:00.001003, 47, 0, True
140, 0:00:00.004011, 186, 0, True
140, 0:00:00, 8, 0, True
140, 0:00:00.001001, 46, 0, True
140, 0:00:00.001003, 49, 0, True
140, 0:00:00.004012, 162, 0, True
